File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\browser.js,load(),12,9,8,2,2,0,1,14,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\browser.js,localstorage(),4,4,4,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\debug.js,selectColor(namespace),9,7,6,2,2,1,0,4,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\debug.js,createDebug(namespace),65,43,38,8,13,0,9,56,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\debug.js,enable(namespaces),18,15,13,3,3,1,0,3,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\debug.js,disable(),2,2,2,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\debug.js,enabled(name),13,13,9,7,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\debug.js,coerce(val),3,3,3,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\node.js,useColors(),4,4,2,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\node.js,function(v),4,4,3,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\node.js,function(v),3,3,3,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\node.js,formatArgs(args),14,12,10,1,2,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\node.js,log(),2,2,2,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\node.js,save(namespaces),8,6,5,1,0,0,2,22,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\node.js,load(),2,2,2,1,0,0,0,0,
